full_name,role,user_id,department,location,status,hire_date,termination_date,username,hostname,device_id,manager_username,device_id_conflict,device_user_count
Harita Dutta,Consultant,EMP12480,IT,Remote,Active,2023-11-11 20:44:53,,harita.dutta68,,DEV22156,manager582,False,1
Rajeshri Shetty,Engineer,EMP11845,Legal,,Active,2022-01-17 18:29:49,,rajeshri.shetty52,WS-11845,DEV97327,manager820,False,1
Lila Rege,Specialist,EMP11536,Finance,Remote,Disabled,2026-04-16 10:01:48,2026-07-09 09:08:00,lila.rege10,WS-11536,DEV79168,unknown,False,1
Edhitha Loyal,Trainee,EMP12857,Procurement,Regional Office,Active,2025-02-01 09:48:00,,edhitha.loyal90,VDR-12857,DEV80999,,False,1
Manan Jayaraman,Consultant,EMP12397,R&D,Work From Home,Active,2025-02-09 08:56:42,,manan.jayaraman61,WS-12397,DEV64253,,False,1
Daksh Kari,Engineer,EMP10456,Supply Chain,Regional Office,Active,,,daksh.kari74,WS-10456,,manager543,False,0
Damyanti Barad,Manager,EMP10462,IT,Work From Home,Active,2024-04-28 00:00:00,,damyanti.barad71,VDR-10462,DEV91142,manager770,False,1
Keya Johal,Director,EMP12292,Procurement,Data Center,Active,2021-09-22 18:34:14,,keya.johal9,LPT-12292,DEV29770,,False,1
Yadavi Kaur,Administrator,EMP11788,Marketing,Data Center,Active,2025-02-18 12:14:54,,yadavi.kaur93,LPT-11788,DEV40210,manager373,False,1
Harita Kakar,Manager,EMP11767,Customer Support,Branch Office,Disabled,2021-03-27 00:00:00,,harita.kakar82,VDR-11767,DEV26640,,False,1
Tanveer Sankar,Executive,EMP10381,Operations,Branch Office,Active,2026-04-12 05:06:18,,tanveer.sankar50,LPT-10381,,manager705,False,0
Nitesh Dugar,Director,EMP11444,Human Resources,Data Center,Active,2020-03-29 17:13:41,,nitesh.dugar65,WS-11444,,manager270,False,0
Aarav Chakraborty,Manager,EMP11187,Customer Support,Warehouse,Active,2023-04-02 04:18:57,,aarav_chakraborty53,LPT-11187,DEV13104,manager989,False,1
Alka Ranganathan,Engineer,EMP12607,Finance,Work From Home,Active,2020-06-07 07:40:54,,alka.ranganathan93,,DEV25527,manager861,False,1
Vasana Singhal,Executive,EMP12357,IT,Data Center,Active,2022-08-18 14:38:00,,vasana.singhal7,VDR-12357,DEV70852,manager880,False,1
Harita Parekh,Administrator,EMP11842,Procurement,Branch Office,Active,2022-03-18 17:40:46,,harita.parekh10,LPT-11842,DEV70599,manager894,False,1
Charles Shah,Manager,EMP11554,Sales,Data Center,Inactive,,,charles.shah45,LPT-11554,DEV24733,,False,1
Warjas Sachar,Director,EMP10059,Human Resources,Data Center,Active,,,warjas.sachar28,WS-10059,DEV81121,manager530,False,1
Ati Chana,Specialist,EMP11608,Sales,Work From Home,Active,2024-08-03 12:25:57,,ati.chana43,VDR-11608,DEV63364,,False,1
Rachana Tank,Engineer,EMP12638,R&D,,Active,2023-04-08 21:33:00,,rachana.tank4,VDR-12638,DEV70797,unknown,False,1
Vrinda Ratta,Director,EMP11364,R&D,Remote,Active,2025-01-01 02:29:19,,vrinda.ratta87,WS-11364,DEV33163,manager891,False,1
Caleb Khurana,Engineer,EMP11505,Human Resources,Remote,Active,2025-06-07 04:11:00,,caleb.khurana94,WS-11505,DEV70204,,False,1
Faqid Gaba,Executive,EMP12876,Human Resources,Branch Office,Active,,,faqid.gaba42,WS-12876,DEV49654,manager726,False,1
Rachana Sibal,Engineer,EMP12359,Legal,Data Center,Active,2020-04-14 22:25:32,,rachana.sibal12,WS-12359,DEV65919,manager438,False,1
Waida Raju,Officer,EMP12928,Human Resources,Remote,Active,,,waida.raju48,VDR-12928,DEV43330,manager498,False,1
Indali Saraf,Executive,EMP11480,Marketing,Work From Home,Active,2022-12-29 16:51:28,,,LPT-11480,DEV62575,,False,1
Jhalak Toor,Consultant,EMP10542,Marketing,Head Office,Inactive,,2025-10-31 01:00:00,jhalak.toor65,VDR-10542,DEV43776,,False,1
Brijesh Hegde,Engineer,EMP11133,Finance,Head Office,Active,2021-08-20 01:47:05,,brijesh.hegde76,,DEV62596,,False,1
Charles Subramaniam,Executive,EMP11764,Sales,Remote,Active,2020-07-05 09:28:00,,charles.subramaniam30,LPT-11764,DEV61211,manager112,False,1
Vasudha Raj,Specialist,EMP12610,Customer Support,Warehouse,Active,2022-05-07 13:43:40,,vasudha.raj58,VDR-12610,,manager113,False,0
Yashvi Din,Director,EMP11880,Marketing,Head Office,Active,2026-01-20 11:40:41,,yashvi.din95,LPT-11880,DEV47375,manager240,False,1
Abeer Kashyap,Specialist,EMP10845,Operations,Regional Office,Inactive,2021-11-08 07:53:00,,abeer.kashyap41,WS-10845,DEV40924,manager381,False,1
Dayita Bhatia,Consultant,EMP12494,Sales,Branch Office,Active,2023-06-26 13:53:47,,dayita.bhatia69,LPT-12494,DEV21139,manager397,False,1
Agastya Sarraf,Director,EMP12655,Customer Support,Warehouse,Active,2021-06-29 22:44:18,,agastya.sarraf35,VDR-12655,DEV40499,,False,1
Aarush Din,Director,EMP11475,Finance,Remote,Active,2024-11-10 00:12:23,,aarush_din90,WS-11475,DEV14229,unknown,False,1
Owen Rau,Analyst,EMP11839,Finance,Head Office,Active,,,owen.rau90,WS-11839,,,False,0
Girik Pingle,Director,EMP12980,Innovation,Branch Office,Active,2021-11-28 19:48:13,,girik_pingle83,VDR-12980,DEV91958,manager317,False,1
Ekiya Jaggi,Consultant,EMP11801,Legal,Head Office,Active,2021-05-08 05:31:54,,ekiya.jaggi5,LPT-11801,DEV21792,manager812,False,1
Indali Pandey,Engineer,EMP11766,Sales,Regional Office,Active,,,indali.pandey62,WS-11766,,manager666,False,0
Ojasvi Vohra,Manager,EMP12493,IT,Head Office,Active,2024-01-30 00:00:00,,ojasvi.vohra89,VDR-12493,DEV88063,manager117,False,1
Garima Arora,Manager,EMP11786,IT,Remote,Active,2021-01-30 21:16:00,,garima.arora7,LPT-11786,DEV81891,,False,1
Edhitha Saini,Specialist,EMP11018,Finance,Head Office,Active,2021-05-05 16:16:48,,edhitha.saini50,WS-11018,DEV15723,manager743,False,1
Triveni Palla,Specialist,EMP10435,Finance,Data Center,Active,2024-01-23 05:32:40,,triveni.palla12,VDR-10435,DEV66283,manager138,False,1
Anamika Iyengar,Manager,EMP11114,Operations,Regional Office,Active,2020-10-17 21:49:41,,anamika.iyengar53,LPT-11114,DEV20052,manager158,False,1
Naksh Anand,Engineer,EMP10237,Procurement,Warehouse,Inactive,,2022-12-26 01:31:53,naksh.anand12,VDR-10237,DEV14888,,False,1
Gopal Uppal,Manager,EMP11075,Procurement,Regional Office,Inactive,,,gopal.uppal74,WS-11075,DEV59415,manager903,False,1
Warda Raju,Consultant,EMP10109,Legal,Regional Office,Inactive,2020-04-21 12:49:00,2022-04-20 00:00:00,warda.raju69,VDR-10109,DEV73956,manager394,False,1
Niharika Bal,Specialist,EMP12119,Marketing,,Active,,,niharika.bal84,VDR-12119,DEV82356,manager816,False,1
Ojasvi Bansal,Manager,EMP10163,R&D,Work From Home,Active,2021-06-20 02:55:30,,ojasvi.bansal8,WS-10163,,manager824,False,0
Jyoti Guha,Specialist,EMP10288,Finance,Regional Office,Active,2022-07-06 17:05:25,,jyoti_guha56,WS-10288,DEV21232,unknown,False,1
Darsh Bal,Analyst,EMP10252,R&D,Remote,Active,,,darsh.bal9,,DEV33590,manager846,False,1
Raksha Gokhale,Executive,EMP12588,Sales,Warehouse,Active,2022-12-26 00:00:00,,,VDR-12588,,,False,0
Chatura Chowdhury,Specialist,EMP12350,IT,Warehouse,Active,,,chatura.chowdhury52,WS-12350,DEV38261,manager595,False,1
Pallavi Kunda,Trainee,EMP10767,Operations,Data Center,Disabled,2023-12-31 00:00:00,2026-04-07 12:14:56,pallavi.kunda48,VDR-10767,DEV79033,,False,1
Lipika Kumer,Manager,EMP10787,Operations,,Active,,,lipika.kumer68,WS-10787,DEV21593,,False,1
Chasmum Sachdeva,Specialist,EMP11378,Compliance,,Active,2025-08-03 01:04:07,,chasmum.sachdeva79,VDR-11378,DEV55705,unknown,False,1
Abha Manda,Specialist,EMP11027,IT,Head Office,Active,2022-02-14 18:57:00,,abha.manda57,LPT-11027,DEV59465,manager344,False,1
Abdul Baral,Analyst,EMP11037,People,Branch Office,Active,2021-04-16 05:22:42,,abdul.baral80,WS-11037,DEV75369,manager757,False,1
Krishna Chaudry,Consultant,EMP10869,Human Resources,Regional Office,Active,2020-12-29 00:22:31,,krishna.chaudry17,VDR-10869,DEV66744,manager230,False,1
Liam Saran,Specialist,EMP12957,IT,Regional Office,Active,2023-08-07 23:24:00,,liam.saran13,WS-12957,,manager438,False,0
Netra Madan,Consultant,EMP12405,Marketing,Branch Office,Active,2026-07-02 15:41:18,,netra.madan80,VDR-12405,DEV51725,manager204,False,1
Eta Saran,Officer,EMP11980,Marketing,Regional Office,Active,,,eta.saran85,VDR-11980,,manager974,False,0
Mitesh Chaudhry,Consultant,EMP12159,R&D,Branch Office,Inactive,2020-05-18 05:17:53,2020-12-22 21:29:02,mitesh_chaudhry88,VDR-12159,DEV60002,manager532,False,1
Ishwar Bose,Director,EMP12801,Marketing,Regional Office,Inactive,,2026-07-12 07:30:08,ishwar.bose49,VDR-12801,DEV37085,manager304,False,1
Yahvi Mangal,Analyst,EMP12908,Supply Chain,Regional Office,Active,2024-08-25 22:03:50,,yahvi.mangal15,,,,False,0
Joshua Setty,Director,EMP12053,Human Resources,Remote,Inactive,2020-01-20 00:00:00,,joshua.setty16,LPT-12053,DEV27842,manager920,False,1
Qadim Lalla,Administrator,EMP12472,Customer Support,Regional Office,Active,2025-02-09 13:34:22,,qadim.lalla39,WS-12472,DEV58806,manager274,False,1
Nidra Mahal,Consultant,EMP10461,R&D,Head Office,Active,2023-06-07 10:38:28,,nidra.mahal64,,DEV95638,manager670,False,1
Unnati Krishnan,Executive,EMP10911,Operations,Regional Office,Active,2024-03-28 00:00:00,,unnati.krishnan27,WS-10911,DEV67870,manager201,False,1
Gauri Sabharwal,Administrator,EMP12772,IT,Head Office,Active,2020-05-31 18:56:00,,gauri.sabharwal56,LPT-12772,DEV43398,manager987,True,2
Raghav Dutt,Executive,EMP10157,Human Resources,Remote,Active,2026-06-19 21:45:00,,raghav.dutt31,LPT-10157,DEV32740,unknown,False,1
Janani Dasgupta,Executive,EMP10930,Legal,Branch Office,Active,2023-11-23 01:32:25,,,VDR-10930,,,False,0
Anita Varughese,Manager,EMP12138,Sales,Remote,Active,2023-01-06 17:38:00,,anita.varughese46,LPT-12138,DEV86149,manager606,False,1
Ekansh Mangal,Officer,EMP12164,Marketing,Warehouse,Active,2020-06-04 00:00:00,,ekansh.mangal49,WS-12164,DEV66536,manager546,False,1
Aashi Nadig,Manager,EMP10677,Customer Support,Branch Office,Active,2022-04-22 00:00:00,,aashi.nadig72,VDR-10677,,manager821,False,0
Oscar Chhabra,Director,EMP12827,Customer Support,Head Office,Active,2025-06-12 11:43:53,,oscar.chhabra40,WS-12827,DEV11374,manager531,False,1
Yochana Choudhary,Engineer,EMP11255,IT,Head Office,Active,2023-04-11 00:00:00,,yochana.choudhary64,VDR-11255,DEV38329,manager207,False,1
Sanya Narang,Trainee,EMP10238,Legal,,Inactive,2020-01-29 19:00:36,2025-03-16 13:45:56,sanya_narang5,VDR-10238,DEV47941,manager443,False,1
Lajita Dhingra,Engineer,EMP11052,Sales,Data Center,Active,2025-10-02 13:56:55,,lajita.dhingra55,LPT-11052,,,False,0
Anmol Dugar,Officer,EMP11532,IT,Head Office,Active,2023-09-20 00:00:00,,anmol.dugar63,VDR-11532,DEV58952,,False,1
Fariq Atwal,Specialist,EMP10243,Procurement,Head Office,Active,2022-01-04 03:59:50,,fariq_atwal39,WS-10243,,manager221,False,0
Turvi Nigam,Manager,EMP10100,Sales,Data Center,Disabled,2024-03-28 09:34:00,,turvi.nigam12,LPT-10100,DEV94896,manager822,False,1
Girindra Pathak,Executive,EMP10315,Human Resources,Remote,Active,2023-07-23 10:10:04,,girindra.pathak40,VDR-10315,DEV28528,manager688,False,1
Omya Mukherjee,Administrator,EMP12409,Sales,Remote,Inactive,2020-02-27 13:04:36,2024-07-26 16:04:00,omya.mukherjee26,WS-12409,DEV68041,manager713,False,1
Chakradev Chakraborty,Specialist,EMP12513,Customer Support,Data Center,Active,2022-01-21 20:25:01,,chakradev.chakraborty45,VDR-12513,DEV42157,,False,1
Sara Raj,Manager,EMP11041,IT,,On Leave,2020-06-10 21:22:08,,sara.raj57,WS-11041,DEV19173,manager244,False,1
Yadavi Seshadri,Specialist,EMP11064,Compliance,,Active,2022-11-13 02:46:32,,yadavi_seshadri1,WS-11064,DEV73691,manager444,False,1
Pavani Atwal,Director,EMP10261,Finance,Warehouse,On Leave,2025-06-21 00:00:00,,pavani.atwal76,WS-10261,DEV16145,manager904,False,1
Gautam Sama,Officer,EMP11655,Legal,Data Center,Active,,,gautam.sama21,LPT-11655,DEV68062,manager783,False,1
Veer Lal,Analyst,EMP12966,Finance,Head Office,Active,2020-08-22 15:36:02,,veer.lal49,VDR-12966,,manager312,False,0
Tanay Karnik,Executive,EMP10195,Supply Chain,Regional Office,Active,,,tanay.karnik5,WS-10195,DEV58623,manager240,False,1
Yatan Chander,Director,EMP11941,IT,Branch Office,Active,,,yatan.chander61,LPT-11941,,manager732,False,0
Dayita Apte,Director,EMP11078,Sales,Data Center,Disabled,2021-01-27 00:00:00,2026-03-11 14:01:18,dayita.apte69,WS-11078,DEV57844,manager209,False,1
Vinaya Lal,Consultant,EMP11847,Marketing,Regional Office,Active,2024-02-05 06:27:27,,vinaya.lal10,WS-11847,DEV85926,manager225,False,1
Ridhi Kadakia,Trainee,EMP10179,Finance,Data Center,Inactive,2020-02-29 01:01:57,2021-06-07 00:00:00,ridhi.kadakia61,VDR-10179,DEV10688,manager844,False,1
Praneel Panchal,Executive,EMP11412,Marketing,Remote,Active,2024-06-10 18:50:17,,praneel.panchal28,VDR-11412,DEV23411,manager884,False,1
Mason Garg,Trainee,EMP10842,IT,Work From Home,Disabled,2020-09-17 18:14:25,2023-04-01 13:10:00,mason.garg83,LPT-10842,DEV17251,,False,1
Ryan Borah,Director,EMP12389,Operations,Warehouse,Active,2020-01-31 22:43:58,,ryan.borah18,LPT-12389,,manager324,False,0
Yashoda Kapur,Trainee,EMP11510,R&D,Head Office,Active,2025-05-23 11:26:07,,yashoda.kapur75,VDR-11510,DEV16695,manager589,False,1
Dhriti Sami,Officer,EMP11995,Compliance,Branch Office,Active,2025-03-16 00:00:00,,dhriti.sami98,LPT-11995,DEV20644,manager943,False,1
Prisha Venkataraman,Director,EMP10340,Finance,Warehouse,Disabled,,,prisha.venkataraman28,VDR-10340,DEV67984,,False,1
Ganga Yogi,Specialist,EMP11134,IT,Branch Office,Active,,,ganga.yogi55,LPT-11134,DEV16678,manager748,False,1
Ria Yadav,Director,EMP12364,Sales,Remote,Disabled,2025-03-22 00:00:00,2026-05-04 00:00:00,ria.yadav87,LPT-12364,DEV20271,manager673,False,1
Faqid Kuruvilla,Officer,EMP10748,IT,Branch Office,Active,2020-12-26 14:26:24,,faqid.kuruvilla95,LPT-10748,DEV13809,manager340,False,1
Orinder Karpe,Executive,EMP12936,IT,Data Center,On Leave,2026-05-16 00:00:00,,orinder.karpe99,VDR-12936,DEV55597,manager843,False,1
Watika Sant,Engineer,EMP10662,Human Resources,Work From Home,Active,2022-11-03 01:21:16,,watika.sant81,,DEV64346,manager925,False,1
Kamya Taneja,Consultant,EMP10480,Sales,Work From Home,Active,2021-09-02 09:47:47,,kamya.taneja57,VDR-10480,,unknown,False,0
Aarna Menon,Analyst,EMP10803,Human Resources,Work From Home,Active,2020-11-30 23:26:48,,aarna.menon15,WS-10803,DEV66524,manager775,False,1
Upasna Batra,Engineer,EMP12204,Finance,Remote,Inactive,2025-01-03 00:46:20,2026-06-12 07:34:00,upasna_batra71,WS-12204,DEV63564,,False,1
Lopa Sarin,Trainee,EMP10998,Finance,,Active,2020-09-13 01:34:11,,lopa.sarin4,WS-10998,DEV94587,manager613,False,1
Diya Dutt,Trainee,EMP11431,Procurement,Head Office,Active,2020-09-25 11:46:00,,diya.dutt12,LPT-11431,DEV21870,manager705,False,1
Zarna Pall,Specialist,EMP12509,Finance,Data Center,Active,2022-09-06 00:00:00,,zarna.pall69,WS-12509,DEV27616,manager349,False,1
Inaya Garg,Analyst,EMP10549,Customer Support,Work From Home,Active,2024-03-09 15:33:32,,inaya.garg98,WS-10549,DEV58653,,False,1
Warda Bora,Engineer,EMP11210,Sales,Regional Office,Active,2023-02-04 00:00:00,,warda.bora45,VDR-11210,DEV11883,manager414,False,1
Bahadurjit Ramaswamy,Trainee,EMP10783,Sales,Remote,Active,,,bahadurjit.ramaswamy51,VDR-10783,DEV89308,unknown,False,1
Rehaan Kothari,Officer,EMP12791,IT,,Active,2022-01-12 05:05:56,,rehaan.kothari61,WS-12791,DEV21773,,False,1
Rajata Sem,Analyst,EMP12007,Procurement,Regional Office,Active,2021-03-13 14:37:17,,rajata.sem34,LPT-12007,DEV85865,unknown,False,1
Bhanumati Tella,Executive,EMP10742,Innovation,,Active,2023-10-31 00:00:00,,bhanumati.tella99,LPT-10742,DEV93863,manager278,False,1
Jhalak Ben,Engineer,EMP12488,Operations,,Active,,,jhalak.ben53,VDR-12488,DEV39678,manager624,False,1
Nilima Basak,Director,EMP12733,Procurement,Branch Office,Disabled,2025-12-03 13:31:37,2026-07-31 12:56:02,nilima.basak27,WS-12733,DEV99094,,False,1
Noah Ray,Analyst,EMP12910,R&D,,Active,2021-01-02 22:09:42,,noah.ray4,WS-12910,DEV88117,manager700,False,1
Samesh Tandon,Engineer,EMP11642,People,Branch Office,Active,2026-02-18 15:09:33,,samesh_tandon65,VDR-11642,DEV35472,manager992,False,1
Jason Lanka,Executive,EMP12033,Customer Support,Work From Home,Disabled,2022-04-13 15:34:17,2025-08-17 04:42:08,jason.lanka36,VDR-12033,DEV54909,manager503,False,1
Benjamin Bhatia,Consultant,EMP11239,Customer Support,Data Center,Active,,,benjamin.bhatia78,,DEV25027,manager290,False,1
Sarthak Zacharia,Manager,EMP12208,Human Resources,Regional Office,Active,2023-10-20 20:17:51,,sarthak_zacharia39,LPT-12208,DEV46987,manager202,False,1
Zilmil Sankaran,Administrator,EMP12967,Customer Support,,Active,2021-12-08 19:51:00,,zilmil.sankaran33,LPT-12967,DEV85481,manager472,False,1
Aadhya Shan,Trainee,EMP10247,Customer Support,Warehouse,Active,2024-10-18 19:28:08,,aadhya.shan11,VDR-10247,DEV57419,manager948,False,1
Aahana Chaudhary,Director,EMP10871,Operations,Branch Office,Active,2021-04-14 23:07:01,,,,DEV74392,manager773,False,1
Januja Yadav,Consultant,EMP10952,Legal,Work From Home,Active,2024-05-04 12:50:42,,januja.yadav88,VDR-10952,DEV37886,manager265,False,1
Damyanti Lal,Director,EMP12262,IT,,Active,2021-05-03 07:51:26,,damyanti_lal3,WS-12262,DEV59411,manager108,True,2
Yuvraj Sachar,Trainee,EMP12803,Legal,Head Office,Active,2020-05-12 05:30:44,,,VDR-12803,,manager142,False,0
Sara Bhattacharyya,Analyst,EMP10626,Human Resources,Remote,Active,2023-03-28 19:08:21,,sara.bhattacharyya47,VDR-10626,DEV60662,manager826,False,1
Jacob Chadha,Officer,EMP10347,Customer Support,,Active,2020-09-02 12:16:28,,jacob.chadha82,LPT-10347,DEV46368,manager308,False,1
David Lad,Engineer,EMP10278,Finance,Branch Office,Active,2023-01-06 05:02:00,,david.lad68,VDR-10278,,manager506,False,0
Chameli Deol,Officer,EMP12689,Human Resources,Warehouse,Active,2025-09-29 00:00:00,,,,DEV43341,manager652,False,1
Eshana Bala,Director,EMP10655,Human Resources,,Active,2025-08-15 10:06:38,,eshana.bala7,LPT-10655,DEV98092,manager709,False,1
Harrison Varughese,Trainee,EMP11298,Procurement,Remote,Active,2025-12-07 12:45:21,,harrison.varughese13,VDR-11298,DEV46068,,False,1
Aarav Sankaran,Manager,EMP10962,Legal,Work From Home,Active,2021-06-13 00:00:00,,aarav.sankaran82,WS-10962,DEV84593,manager775,False,1
Inaya Rastogi,Manager,EMP12706,Legal,Regional Office,Disabled,2020-06-19 13:06:40,2024-03-04 22:08:32,inaya.rastogi36,VDR-12706,DEV64786,unknown,False,1
Ansh Bose,Officer,EMP12667,Finance,Regional Office,On Leave,2025-01-01 04:49:00,,ansh.bose59,WS-12667,DEV56648,manager738,False,1
Nathaniel Wadhwa,Trainee,EMP11091,Human Resources,Work From Home,Active,2025-07-22 09:47:00,,nathaniel.wadhwa89,VDR-11091,,manager111,False,0
Lipika Ramaswamy,Consultant,EMP11820,Operations,Branch Office,Active,2020-11-10 00:00:00,,lipika.ramaswamy9,WS-11820,,manager828,False,0
Dayita Malhotra,Specialist,EMP10632,Brand,Remote,Active,2025-07-20 03:53:12,,dayita.malhotra55,WS-10632,DEV81071,manager654,False,1
Mason Goyal,Executive,EMP11178,Procurement,,Active,2023-08-09 00:00:00,,mason.goyal5,LPT-11178,DEV11424,manager996,False,1
Charvi Mann,Specialist,EMP10445,Sales,Branch Office,On Leave,2023-01-17 00:35:10,,charvi.mann64,WS-10445,DEV78569,manager402,False,1
Gaurav Rajagopal,Engineer,EMP10617,Customer Support,Data Center,Active,2024-10-09 11:41:23,,gaurav.rajagopal62,WS-10617,,manager853,False,0
Jasmit Panchal,Director,EMP11915,IT,Regional Office,Active,2024-09-24 00:00:00,,jasmit.panchal36,WS-11915,DEV56779,manager127,False,1
Brijesh Karpe,Consultant,EMP12922,Marketing,Data Center,Active,2024-01-09 15:34:00,,brijesh.karpe81,VDR-12922,DEV48262,manager400,False,1
Hemal Anne,Specialist,EMP12792,Customer Support,Remote,Active,2021-08-21 08:13:40,,hemal.anne22,,DEV45125,,False,1
Dhriti Choudhary,Analyst,EMP11207,Operations,,Active,2022-09-10 00:00:00,,dhriti.choudhary42,WS-11207,DEV29331,manager790,False,1
Yadavi Karan,Trainee,EMP12014,Procurement,Regional Office,Disabled,,,yadavi.karan30,LPT-12014,DEV74595,manager797,False,1
Saksham Vohra,Officer,EMP10844,Supply Chain,Remote,Active,,,saksham.vohra67,WS-10844,DEV21829,,False,1
Shivani Madan,Specialist,EMP12631,Sales,Work From Home,Active,2020-10-08 20:13:00,,shivani.madan32,WS-12631,,manager433,False,0
Tristan Mukherjee,Trainee,EMP10547,Sales,Regional Office,Active,2022-04-04 14:03:33,,tristan.mukherjee88,,DEV40783,,False,1
Atharv Shukla,Engineer,EMP11889,Legal,Work From Home,Active,2023-06-10 19:14:29,,atharv.shukla79,VDR-11889,DEV48365,,False,1
Udarsh Chokshi,Manager,EMP10942,R&D,Work From Home,Active,2025-01-03 15:02:48,,,VDR-10942,DEV89541,manager982,False,1
Adya Divan,Analyst,EMP11011,R&D,Branch Office,Inactive,2023-04-13 22:21:03,,adya.divan78,LPT-11011,DEV19108,manager636,False,1
Tanish Issac,Executive,EMP10263,Brand,Work From Home,Active,2023-07-18 01:04:38,,tanish.issac29,,DEV17552,manager237,False,1
Rishi Iyengar,Specialist,EMP11393,Sales,Work From Home,Active,2026-04-28 22:08:14,,rishi.iyengar51,WS-11393,DEV52431,manager380,False,1
Balendra Madan,Analyst,EMP11933,Operations,Work From Home,Active,2021-04-10 00:00:00,,balendra.madan83,VDR-11933,DEV89281,,False,1
Lajita Rao,Trainee,EMP10353,People,Data Center,Active,2024-10-27 06:05:36,,lajita.rao81,VDR-10353,DEV57202,manager261,False,1
Lohit Kulkarni,Director,EMP12923,Sales,Regional Office,Disabled,,2021-09-16 19:33:57,,WS-12923,DEV49080,manager591,False,1
Liam Agate,Specialist,EMP10208,Sales,Data Center,Active,,,liam.agate34,VDR-10208,,manager757,False,0
Pavani Bansal,Analyst,EMP10613,Legal,Remote,Active,2024-10-21 00:00:00,,pavani.bansal82,,DEV15397,manager614,False,1
Advaith Barman,Trainee,EMP11710,Finance,Head Office,Active,2024-06-12 05:20:44,,advaith.barman92,LPT-11710,DEV28338,manager830,False,1
Radha Gour,Officer,EMP11780,Procurement,,Active,2021-10-01 04:37:33,,radha.gour60,,DEV48202,manager748,False,1
Anamika Ben,Trainee,EMP11844,Finance,Work From Home,On Leave,2022-08-09 22:44:51,,anamika.ben86,WS-11844,DEV57022,manager822,False,1
Peter Chowdhury,Specialist,EMP11572,Sales,Warehouse,Active,2021-03-11 21:46:00,,peter.chowdhury40,LPT-11572,,manager942,False,0
Samuel Dubey,Consultant,EMP12702,Supply Chain,Data Center,Active,2022-06-04 00:00:00,,samuel.dubey7,LPT-12702,,manager119,False,0
Akshay Dugal,Consultant,EMP12113,Finance,,Active,,,akshay.dugal56,VDR-12113,DEV98652,manager710,True,2
Saksham Rege,Consultant,EMP12307,Brand,,Active,2024-10-19 06:34:31,,saksham.rege93,WS-12307,DEV41447,manager977,False,1
Nimrat Nair,Officer,EMP10057,Marketing,Data Center,Active,2020-08-28 17:34:00,,nimrat.nair32,VDR-10057,DEV41358,manager340,False,1
Ranbir Kumar,Engineer,EMP12312,Finance,Remote,Inactive,,,ranbir.kumar36,VDR-12312,DEV87136,manager225,False,1
Diya Ratta,Consultant,EMP10811,Human Resources,,Active,2025-02-08 08:17:11,,diya.ratta6,LPT-10811,DEV60434,manager803,False,1
Patrick Salvi,Trainee,EMP12260,R&D,Remote,Inactive,2024-04-05 09:49:33,,patrick.salvi50,LPT-12260,DEV41671,manager796,False,1
Raghav Nanda,Consultant,EMP10561,Marketing,Remote,Active,2026-04-07 07:22:00,,raghav.nanda23,VDR-10561,,manager180,False,0
Forum Palla,Engineer,EMP12112,Marketing,Work From Home,Active,2021-09-02 16:05:53,,,WS-12112,DEV32935,manager678,False,1
Bhavna Dass,Specialist,EMP10229,Brand,,Active,2022-07-16 09:42:39,,bhavna.dass88,,DEV42311,manager404,False,1
Sai Mitra,Specialist,EMP12586,Innovation,Branch Office,Active,2023-06-22 20:24:01,,sai.mitra8,LPT-12586,DEV17258,manager187,False,1
Janya Wagle,Trainee,EMP11833,Sales,Branch Office,Active,2023-07-06 00:00:00,,janya.wagle29,LPT-11833,DEV81068,manager529,False,1
Pavani Rout,Executive,EMP11080,R&D,Warehouse,Active,2025-12-24 00:00:00,,pavani.rout64,WS-11080,DEV29119,manager427,False,1
Indali Dora,Engineer,EMP10538,Customer Support,,Active,2022-01-13 08:16:00,,indali.dora66,LPT-10538,DEV98345,manager261,False,1
Qasim Munshi,Trainee,EMP11320,Customer Support,,Active,2024-03-22 20:56:06,,qasim.munshi11,WS-11320,,manager765,False,0
Sudiksha Shenoy,Manager,EMP11674,Sales,Work From Home,Active,2026-04-07 05:40:59,,sudiksha.shenoy74,LPT-11674,DEV11264,,False,1
Meera Banik,Officer,EMP11110,Customer Support,Warehouse,Active,2022-03-15 20:59:27,,meera.banik95,WS-11110,DEV72503,manager625,False,1
Pratyush Deshpande,Director,EMP11128,Human Resources,,Disabled,2026-01-28 07:37:53,2026-07-02 14:44:45,pratyush.deshpande35,VDR-11128,DEV74955,manager859,False,1
Raksha Mahal,Executive,EMP10707,Marketing,,Disabled,2020-02-14 03:03:10,2025-04-04 03:15:00,raksha.mahal36,WS-10707,,manager705,False,0
Eesha Basu,Administrator,EMP10424,Brand,Regional Office,Active,2022-05-09 00:05:00,,eesha.basu78,LPT-10424,DEV73142,manager982,False,1
Brijesh Arora,Manager,EMP10069,Procurement,Work From Home,Active,2023-08-23 22:10:46,,brijesh.arora88,VDR-10069,DEV15383,,False,1
Suhani Dhar,Officer,EMP12817,Procurement,,Disabled,2024-12-27 15:10:23,2025-03-29 11:48:14,suhani.dhar2,LPT-12817,DEV11435,unknown,False,1
